Date,Daily Power Production,Peak Grid Power Production,Solar Radiance
9/15/2023,487430,79.83,21.92
9/16/2023,562530,76.91,25.98
9/17/2023,525210,75.54,24
9/18/2023,516720,77.52,24.01
9/19/2023,486700,74.4,21.89
9/20/2023,459350,71.74,22.13
9/21/2023,258470,74.67,11.53
9/22/2023,519260,82.83,22.61
9/23/2023,555600,80,25.17
9/24/2023,543100,81.59,23.82
9/25/2023,490420,80.53,22.21
9/26/2023,457290,80.84,20.47
9/27/2023,475920,77.84,21.09
9/28/2023,260920,74.19,11.32
9/29/2023,457350,74.63,20.77
9/30/2023,422290,81.35,19.6
10/01/2023,338600,85.99,15.76
10/02/2023,553310,78.61,24.68
10/03/2023,549770,76.82,24.68
10/04/2023,502410,72.99,23.19
10/05/2023,454490,74.58,20.56
10/06/2023,522230,77.72,23.77
10/07/2023,534110,75.15,24.35
10/08/2023,539060,76.28,24.43
10/09/2023,517910,74.76,23.34
10/10/2023,532740,76.36,24.28
10/11/2023,500250,74.35,22.17
10/12/2023,487200,73.21,22.19
10/13/2023,478350,71,22.47
10/14/2023,511290,74.67,24.23
10/15/2023,506100,72.68,23.95
10/16/2023,505780,72.89,24.1
10/17/2023,482550,69.91,22.82
10/18/2023,450620,67.62,20.87
